
0it [00:00, ?it/s]
514836it [00:29, 14403.02it/s]
516317it [00:29, 14456.24it/s]
517791it [00:30, 14188.67it/s]
519313it [00:30, 14481.90it/s]
520809it [00:30, 14621.91it/s]
522283it [00:30, 14387.52it/s]
523761it [00:30, 14500.20it/s]
525527it [00:30, 15322.35it/s]
527193it [00:30, 15699.70it/s]
528778it [00:30, 15357.30it/s]
530411it [00:30, 15634.93it/s]
532111it [00:31, 15996.32it/s]
533779it [00:31, 16181.75it/s]
535404it [00:31, 15835.32it/s]
537535it [00:31, 17149.54it/s]
539339it [00:31, 17398.50it/s]
541117it [00:31, 17508.98it/s]
542887it [00:31, 16551.84it/s]
544566it [00:31, 16607.70it/s]
546271it [00:31, 16735.08it/s]
548335it [00:31, 17738.66it/s]
550134it [00:32, 16840.74it/s]
551845it [00:32, 14950.01it/s]
553513it [00:32, 15422.76it/s]
555100it [00:32, 15239.71it/s]
556803it [00:32, 15731.97it/s]
558459it [00:32, 15971.14it/s]
560076it [00:32, 15498.37it/s]
561853it [00:32, 16105.20it/s]
563482it [00:32, 15746.40it/s]
565071it [00:33, 15740.29it/s]
566655it [00:33, 15586.64it/s]
568423it [00:33, 16157.54it/s]
570050it [00:33, 15904.21it/s]
571779it [00:33, 16294.08it/s]
573557it [00:33, 16709.59it/s]
575237it [00:33, 16526.30it/s]
576896it [00:33, 16300.14it/s]
578599it [00:33, 16509.16it/s]
580255it [00:33, 16399.70it/s]
581915it [00:34, 16457.86it/s]
583564it [00:34, 14491.52it/s]
585089it [00:34, 14710.15it/s]
586761it [00:34, 15255.36it/s]
588319it [00:34, 15349.96it/s]
589875it [00:34, 15408.75it/s]
591430it [00:34, 15439.08it/s]
592984it [00:34, 15282.13it/s]
594607it [00:34, 15546.84it/s]
596209it [00:35, 15678.13it/s]
597782it [00:35, 15481.95it/s]
599625it [00:35, 16259.91it/s]
601264it [00:35, 16211.74it/s]
602895it [00:35, 15953.96it/s]
604507it [00:35, 14115.10it/s]
606177it [00:35, 14800.17it/s]
607783it [00:35, 15154.03it/s]
609549it [00:35, 15826.15it/s]
611161it [00:35, 15371.45it/s]
613005it [00:36, 16179.12it/s]
614777it [00:36, 16611.07it/s]
616461it [00:36, 16293.56it/s]
618397it [00:36, 17102.58it/s]
620130it [00:36, 16874.31it/s]
622083it [00:36, 17587.87it/s]
623862it [00:36, 16816.30it/s]
625565it [00:36, 15851.91it/s]
627177it [00:36, 15763.30it/s]
628823it [00:37, 15965.20it/s]
630481it [00:37, 16129.38it/s]
632104it [00:37, 15231.63it/s]
633645it [00:37, 15082.98it/s]
635166it [00:37, 15014.72it/s]
636677it [00:37, 14806.13it/s]
638165it [00:37, 14639.64it/s]
639635it [00:37, 14487.81it/s]
641430it [00:37, 15377.53it/s]
643087it [00:37, 15716.85it/s]
644673it [00:38, 15655.93it/s]
646615it [00:38, 16616.72it/s]
648300it [00:38, 16359.37it/s]
649953it [00:38, 16261.46it/s]
651789it [00:38, 16833.51it/s]
653486it [00:38, 16434.79it/s]
655142it [00:38, 15664.99it/s]
656725it [00:38, 15248.92it/s]
658657it [00:38, 16270.72it/s]
660313it [00:39, 15795.12it/s]
661916it [00:39, 15819.49it/s]
663514it [00:39, 15827.49it/s]
665245it [00:39, 16244.23it/s]
667023it [00:39, 16673.65it/s]
669195it [00:39, 17920.21it/s]
671658it [00:39, 19515.04it/s]
673675it [00:39, 18284.79it/s]
675565it [00:39, 17102.86it/s]
677334it [00:40, 16299.63it/s]
679013it [00:40, 16286.07it/s]
680676it [00:40, 15862.65it/s]
682479it [00:40, 16449.92it/s]
684183it [00:40, 16620.67it/s]
685949it [00:40, 16913.32it/s]
687654it [00:40, 16606.16it/s]
689326it [00:40, 15932.95it/s]
690933it [00:40, 15585.94it/s]
692860it [00:40, 16534.16it/s]
694671it [00:41, 16970.30it/s]
696388it [00:41, 16092.56it/s]
698119it [00:41, 16419.93it/s]
700027it [00:41, 17132.48it/s]
701761it [00:41, 17186.41it/s]
703494it [00:41, 16257.28it/s]
705261it [00:41, 16652.85it/s]
706943it [00:41, 16263.86it/s]
708681it [00:41, 16573.43it/s]
710350it [00:42, 16468.92it/s]
712085it [00:42, 16712.81it/s]
713763it [00:42, 16680.93it/s]
715436it [00:42, 16172.25it/s]
717060it [00:42, 15900.28it/s]
718775it [00:42, 16245.55it/s]
720453it [00:42, 16390.13it/s]
722337it [00:42, 17049.55it/s]
724052it [00:42, 16610.76it/s]
725723it [00:42, 16565.11it/s]
727387it [00:43, 15819.33it/s]
728981it [00:43, 14901.21it/s]
730491it [00:43, 14568.04it/s]
732165it [00:43, 15153.71it/s]
733953it [00:43, 15875.18it/s]
735562it [00:43, 15793.22it/s]
737181it [00:43, 15889.39it/s]
739003it [00:43, 16518.18it/s]
740773it [00:43, 16852.34it/s]
742470it [00:43, 16756.84it/s]
744154it [00:44, 16777.54it/s]
745838it [00:44, 16681.10it/s]
747625it [00:44, 17014.07it/s]
749331it [00:44, 16327.48it/s]
751057it [00:44, 16593.71it/s]
753011it [00:44, 17374.92it/s]
754764it [00:44, 17330.04it/s]
756605it [00:44, 17640.03it/s]
758415it [00:44, 17773.56it/s]
760199it [00:45, 16814.31it/s]
761896it [00:45, 16559.07it/s]
763577it [00:45, 16628.90it/s]
765248it [00:45, 16286.44it/s]
766884it [00:45, 16053.34it/s]
768505it [00:45, 16097.19it/s]
770119it [00:45, 15493.56it/s]
771719it [00:45, 15638.42it/s]
773395it [00:45, 15951.72it/s]
775075it [00:45, 16196.67it/s]
776700it [00:46, 16090.09it/s]
778313it [00:46, 15947.71it/s]
780059it [00:46, 16372.68it/s]
781702it [00:46, 16050.51it/s]
783312it [00:46, 15476.24it/s]
785067it [00:46, 16042.27it/s]
786682it [00:46, 15354.54it/s]
788232it [00:46, 14698.69it/s]
789887it [00:46, 15207.63it/s]
791593it [00:47, 15706.13it/s]
793182it [00:47, 15760.79it/s]
794769it [00:47, 15596.03it/s]
796337it [00:47, 15130.14it/s]
797859it [00:47, 14753.76it/s]
799343it [00:47, 14767.76it/s]
800925it [00:47, 15066.25it/s]
802789it [00:47, 15980.96it/s]
804707it [00:47, 16811.83it/s]
806551it [00:47, 17266.46it/s]
808298it [00:48, 16153.92it/s]
809943it [00:48, 16120.61it/s]
